date,n1,n2,n3,n4,n5,j,weekd,avg,idx
2018-03-01,44,40,39,3,32,20,Thursday,31.6,227
2018-03-04,39,34,21,10,30,4,Sunday,26.8,228
2018-03-04,38,1,25,30,7,7,Sunday,20.2,229
2018-03-08,35,45,13,4,24,2,Thursday,24.2,230
2018-03-11,37,8,41,22,38,3,Sunday,29.2,231
2018-03-15,6,5,3,25,21,17,Thursday,12.0,232
2018-03-18,6,24,27,23,10,1,Sunday,18.0,233
2018-03-22,34,5,20,23,29,7,Thursday,22.2,234
2018-03-25,21,45,28,16,23,4,Sunday,26.6,235
2018-03-29,34,3,1,29,20,6,Thursday,17.4,236
2018-04-01,15,21,41,5,12,8,Sunday,18.8,237
2018-04-08,40,21,37,26,42,6,Sunday,33.2,238
2018-04-08,28,10,34,41,14,19,Sunday,25.4,239
2018-04-12,39,37,16,44,6,5,Thursday,28.4,240
2018-04-15,13,44,5,42,43,6,Sunday,29.4,241
2018-04-19,27,10,19,14,32,2,Thursday,20.4,242
2018-04-22,6,31,7,3,12,7,Sunday,11.8,243
2018-04-26,10,44,3,20,16,3,Thursday,18.6,244
2018-04-29,32,30,12,11,19,11,Sunday,20.8,245
2018-05-03,31,15,38,32,44,5,Thursday,32.0,246
2018-05-06,11,27,6,4,41,5,Sunday,17.8,247
2018-05-10,4,18,12,14,9,7,Thursday,11.4,248
2018-05-13,4,35,18,8,1,2,Sunday,13.2,249
2018-05-17,13,35,17,24,6,5,Thursday,19.0,250
2018-05-20,35,28,1,24,3,9,Sunday,18.2,251
2018-05-24,28,41,42,17,43,5,Thursday,34.2,252
2018-05-27,30,42,3,25,28,4,Sunday,25.6,253
2018-05-31,31,41,35,21,22,20,Thursday,30.0,254
2018-06-03,28,34,18,29,22,1,Sunday,26.2,255
2018-06-07,5,4,35,36,31,20,Thursday,22.2,256
2018-06-10,40,39,16,2,7,16,Sunday,20.8,257
2018-06-14,1,34,35,27,3,7,Thursday,20.0,258
2018-06-17,31,8,3,33,45,5,Sunday,24.0,259
2018-06-21,22,20,25,12,36,15,Thursday,23.0,260
2018-06-24,35,9,30,17,7,5,Sunday,19.6,261
2018-06-28,11,35,7,25,20,4,Thursday,19.6,262
2018-07-01,7,31,40,45,22,17,Sunday,29.0,263
2018-07-05,12,4,25,30,6,15,Thursday,15.4,264
2018-07-08,26,31,6,23,18,8,Sunday,20.8,265
2018-07-12,34,31,33,9,18,5,Thursday,25.0,266
2018-07-15,41,23,3,18,2,18,Sunday,17.4,267
2018-07-19,31,8,28,22,40,7,Thursday,25.8,268
2018-07-22,2,8,41,28,40,8,Sunday,23.8,269
2018-07-26,34,10,26,25,36,19,Thursday,26.2,270
2018-07-29,30,13,14,36,5,15,Sunday,19.6,271
2018-08-02,1,12,45,38,23,20,Thursday,23.8,272
2018-08-05,3,20,1,25,12,10,Sunday,12.2,273
2018-08-09,26,28,40,21,24,5,Thursday,27.8,274
2018-08-12,29,38,45,4,25,11,Sunday,28.2,275
2018-08-16,5,31,26,42,30,13,Thursday,26.8,276
2018-08-19,45,30,7,31,9,6,Sunday,24.4,277
2018-08-23,3,37,16,8,34,9,Thursday,19.6,278
2018-08-26,12,28,17,45,42,17,Sunday,28.8,279
2018-08-30,39,5,7,15,29,8,Thursday,19.0,280
2018-09-02,19,31,8,33,17,14,Sunday,21.6,281
2018-09-06,27,10,2,43,12,1,Thursday,18.8,282
2018-09-09,13,14,1,35,25,10,Sunday,17.6,283
2018-09-13,32,2,20,40,41,4,Thursday,27.0,284
2018-09-16,2,37,34,15,21,4,Sunday,21.8,285
2018-09-16,21,12,18,28,32,13,Sunday,22.2,286
2018-09-20,12,24,31,6,34,18,Thursday,21.4,287
2018-09-23,24,22,40,39,27,17,Sunday,30.4,288
2018-09-27,11,26,32,23,44,9,Thursday,27.2,289
2018-09-30,40,32,41,2,38,3,Sunday,30.6,290
2018-10-04,31,44,41,20,25,5,Thursday,32.2,291
2018-10-07,21,3,42,34,4,9,Sunday,20.8,292
2018-10-11,34,1,6,26,10,14,Thursday,15.4,293
2018-10-14,6,18,29,32,17,8,Sunday,20.4,294
2018-10-18,19,20,38,40,10,16,Thursday,25.4,295
2018-10-21,35,5,43,21,9,7,Sunday,22.6,296
2018-10-21,4,7,19,26,31,9,Sunday,17.4,297
2018-10-25,25,13,15,11,37,17,Thursday,20.2,298
2018-10-28,17,24,42,44,13,6,Sunday,28.0,299
2018-11-01,16,44,9,27,36,2,Thursday,26.4,300
2018-11-04,44,40,27,10,35,12,Sunday,31.2,301
2018-11-08,32,22,6,42,36,3,Thursday,27.6,302
2018-11-11,25,18,37,39,32,13,Sunday,30.2,303
2018-11-15,24,20,4,25,39,3,Thursday,22.4,304
2018-11-18,9,38,8,6,3,15,Sunday,12.8,305
2018-11-18,28,40,18,43,16,20,Sunday,29.0,306
2018-11-22,6,15,45,32,41,16,Thursday,27.8,307
2018-11-25,25,27,3,1,8,2,Sunday,12.8,308
